Channel,Gain,Time (sec),Time (hr),Well,AFU,uM,Excitation,Emission
GFP,100,51848,14.402222222222223,B2,261,0.03228200371057514,485,515
GFP,100,51848,14.402222222222223,B3,282,0.034879406307977735,485,515
GFP,100,51848,14.402222222222223,B4,285,0.03525046382189239,485,515
GFP,100,51848,14.402222222222223,B5,278,0.03438466295609153,485,515
GFP,100,51848,14.402222222222223,B6,293,0.03623995052566481,485,515
GFP,100,51848,14.402222222222223,B7,255,0.03153988868274583,485,515
GFP,100,51848,14.402222222222223,B8,284,0.03512677798392084,485,515
GFP,100,51848,14.402222222222223,B9,323,0.03995052566481138,485,515
GFP,100,51848,14.402222222222223,B10,298,0.036858379715522575,485,515
GFP,100,51848,14.402222222222223,B11,304,0.037600494743351885,485,515
GFP,100,51848,14.402222222222223,B12,295,0.036487322201607914,485,515
GFP,100,51848,14.402222222222223,C1,433,0.05355596784168213,485,515
GFP,100,51848,14.402222222222223,C2,387,0.04786641929499073,485,515
GFP,100,51848,14.402222222222223,C3,372,0.04601113172541744,485,515
GFP,100,51848,14.402222222222223,C4,445,0.055040197897340756,485,515
GFP,100,51848,14.402222222222223,C5,395,0.04885590599876314,485,515
GFP,100,51848,14.402222222222223,C6,284,0.03512677798392084,485,515
GFP,100,51848,14.402222222222223,C7,424,0.05244279529993816,485,515
GFP,100,51848,14.402222222222223,C8,442,0.054669140383426094,485,515
GFP,100,51848,14.402222222222223,C9,271,0.03351886209029066,485,515
GFP,100,51848,14.402222222222223,C10,426,0.05269016697588126,485,515
GFP,100,51848,14.402222222222223,C11,454,0.05615337043908473,485,515
GFP,100,51848,14.402222222222223,C12,314,0.03883735312306741,485,515
GFP,100,51848,14.402222222222223,D1,3572,0.44180581323438467,485,515
GFP,100,51848,14.402222222222223,D2,3199,0.3956709956709957,485,515
GFP,100,51848,14.402222222222223,D3,3339,0.412987012987013,485,515
GFP,100,51848,14.402222222222223,D4,3455,0.42733457019171306,485,515
GFP,100,51848,14.402222222222223,D5,3025,0.3741496598639456,485,515
GFP,100,51848,14.402222222222223,D6,3386,0.4188002473716759,485,515
GFP,100,51848,14.402222222222223,D7,3429,0.4241187384044527,485,515
GFP,100,51848,14.402222222222223,D8,3090,0.3821892393320965,485,515
GFP,100,51848,14.402222222222223,D9,3365,0.41620284477427333,485,515
GFP,100,51848,14.402222222222223,D10,3477,0.4300556586270872,485,515
GFP,100,51848,14.402222222222223,D11,3032,0.37501546072974645,485,515
